year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2013,2897,台灣工業銀行股份有限公司,"Dio Investment, Ltd.",0.0882,開曼群島,0,0,0,1,0,興櫃,G2897,70745361,NA,8,NA,NA,NA
2013,2897,IBT Holdings Corp.,EverTrust Bank,0.9178,不明,0,1,0,0,0,興櫃,G2897,NA,NA,NA,NA,NA,NA
2013,2897,台灣工銀科技顧問股份有限公司,IBT Fortune Limited,1,不明,0,1,0,0,0,興櫃,G2897,70830599,NA,NA,NA,NA,NA
2013,2897,台灣工業銀行股份有限公司,IBT Holdings Corp.,1,不明,0,1,0,0,0,興櫃,G2897,70745361,NA,NA,NA,NA,NA
2013,2897,台灣工銀科技顧問股份有限公司,IBT Management U.S.A. Corp.,0.99,不明,0,1,0,0,0,興櫃,G2897,70830599,NA,NA,NA,NA,NA
2013,2897,IBTS Holdings B.V.I. Limited,IBTS Asia (HK) Limited,1,不明,0,1,0,0,0,興櫃,G2897,NA,NA,NA,NA,NA,NA
2013,2897,IBTS Holdings B.V.I. Limited,IBTS Financial (HK) Limited,1,不明,0,1,0,0,0,興櫃,G2897,NA,NA,NA,NA,NA,NA
2013,2897,台灣工銀證券股份有限公司,IBTS Holdings B.V.I. Limited,1,不明,0,1,0,0,0,興櫃,G2897,03407600,NA,NA,NA,NA,NA
2013,2897,台灣工業銀行股份有限公司,"Shilien China Holding Co., Limited",0.0167,香港,0,0,0,1,0,興櫃,G2897,70745361,NA,8,NA,NA,NA
2013,2897,台遠科技股份有限公司,中華票券金融股份有限公司,0.0013,不明,0,1,0,0,0,興櫃,G2897,16593676,12198359,NA,NA,NA,NA
2013,2897,台灣工業銀行股份有限公司,中華票券金融股份有限公司,0.2837,不明,0,1,0,0,0,興櫃,G2897,70745361,12198359,NA,NA,NA,NA
2013,2897,台灣工業銀行股份有限公司,台遠科技股份有限公司,0.1667,不明,0,1,0,0,0,興櫃,G2897,70745361,16593676,NA,NA,NA,NA
2013,2897,臺灣工銀租賃股份有限公司,台駿津國際租賃有限公司,1,china,0,1,0,1,0,興櫃,G2897,53009402,NA,NA,NA,NA,NA
2013,2897,臺灣工銀租賃股份有限公司,台駿國際租賃有限公司,1,china,0,1,0,1,0,興櫃,G2897,53009402,NA,NA,NA,NA,NA
2013,2897,三和塑膠工業股份有限公司,台灣工業銀行股份有限公司,NA,NA,0,0,0,0,1,興櫃,G2897,56014701,70745361,NA,NA,NA,NA
2013,2897,台雅投資股份有限公司,台灣工業銀行股份有限公司,NA,NA,0,0,0,0,1,興櫃,G2897,70559062,70745361,NA,NA,NA,NA
2013,2897,怡昌投資股份有限公司,台灣工業銀行股份有限公司,NA,NA,0,0,0,0,1,興櫃,G2897,12410774,70745361,NA,NA,NA,NA
2013,2897,旺興實業股份有限公司,台灣工業銀行股份有限公司,NA,NA,0,0,0,0,1,興櫃,G2897,23415939,70745361,NA,NA,NA,NA
2013,2897,昌福投資有限公司,台灣工業銀行股份有限公司,NA,NA,0,0,0,0,1,興櫃,G2897,13121724,70745361,NA,NA,NA,NA
2013,2897,明山投資股份有限公司,台灣工業銀行股份有限公司,NA,NA,0,0,0,0,1,興櫃,G2897,04361912,70745361,NA,NA,NA,NA
2013,2897,啟業化工股份有限公司,台灣工業銀行股份有限公司,NA,NA,0,0,0,0,1,興櫃,G2897,03382501,70745361,NA,NA,NA,NA
2013,2897,臺灣水泥股份有限公司,台灣工業銀行股份有限公司,NA,NA,0,0,0,0,1,興櫃,G2897,11913502,70745361,NA,NA,NA,NA
2013,2897,台灣工業銀行股份有限公司,台灣工銀科技顧問股份有限公司,1,不明,0,1,0,0,0,興櫃,G2897,70745361,70830599,NA,NA,NA,NA
2013,2897,台灣工業銀行股份有限公司,台灣工銀陸創業投資股份有限公司,0,不明,0,1,0,0,0,興櫃,G2897,70745361,53125612,NA,NA,NA,NA
