year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2015,1235,興泰實業股份有限公司,安答投資股份有限公司,0.4779,台灣,1,0,1,0,0,上市,G1235,85617982,24428193,NA,NA,NA,NA
2015,1235,興泰實業股份有限公司,安鼎投資股份有限公司,0.4884,台灣,1,0,1,0,0,上市,G1235,85617982,80131665,NA,NA,NA,NA
2015,1235,興泰實業股份有限公司,"汶萊SHIN TAI INTERNATIONAL.CO., LTD.",1,汶萊,1,1,0,0,0,上市,G1235,85617982,NA,NA,NA,NA,NA
2015,1235,興泰實業股份有限公司,昇鋒投資股份有限公司,1,台灣,1,1,0,0,0,上市,G1235,85617982,22696622,NA,NA,NA,NA
2015,1235,興泰實業股份有限公司,泰生海洋開發股份有限公司,1,台灣,1,1,0,0,0,上市,G1235,85617982,13196203,NA,NA,NA,NA
2015,1235,"汶萊SHIN TAI INTERNATIONAL.CO., LTD.","緬甸CHIN SHIN INDUSTRY CO.,LTD.",0.7388,緬甸,0,1,0,0,0,上市,G1235,NA,NA,NA,NA,NA,NA
2015,1235,安鼎投資股份有限公司,興泰實業股份有限公司,NA,NA,0,0,0,0,1,上市,G1235,80131665,85617982,NA,NA,NA,NA
