year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2014,3545,敦泰電子股份有限公司,"FocalTech Electronics, Ltd.",1,開曼群島,1,0,1,0,0,上市,G2401,28069900,NA,NA,NA,NA,NA
2014,3545,敦泰電子股份有限公司,"FocalTech Systems, Ltd.",1,美國,0,1,0,0,0,上市,G2401,28069900,NA,NA,NA,NA,NA
2014,4952,Generalplus International (Samoa) Inc.,Generalplus (Mauritius) Inc.,1,模里西斯,0,1,0,0,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,4952,凌通科技股份有限公司,Generalplus International (Samoa) Inc.,1,薩摩亞,1,1,0,0,0,上市,G2401,80741441,NA,NA,NA,NA,NA
2014,2401,凌陽科技股份有限公司,Global Techplus Capital Inc.,0,塞席爾,0,1,0,0,0,上市,G2401,23821182,NA,NA,NA,NA,NA
2014,4921,宏陽科技股份有限公司,Great Prosperous Corp.,0,模里西斯,0,1,0,0,0,興櫃,G2401,NA,NA,NA,NA,NA,NA
2014,4921,宏陽科技股份有限公司,Great Sun Corp.,0,薩摩亞,0,1,0,0,0,興櫃,G2401,NA,NA,NA,NA,NA,NA
2014,2401,凌陽科技股份有限公司,Magic Sky Limited,1,薩摩亞,0,1,0,0,0,上市,G2401,23821182,NA,NA,NA,NA,NA
2014,3545,敦泰電子股份有限公司,Orise Cayman公司,1,其他,0,1,0,0,0,上市,G2401,28069900,NA,NA,NA,NA,NA
2014,2401,凌陽科技股份有限公司,Russell Holdings Limited,1,開曼群島,0,1,0,0,0,上市,G2401,23821182,NA,NA,NA,NA,NA
2014,2401,Great Sun Corp.,Sunext (Mauritius) Inc.,0,模里西斯,0,1,0,0,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,2401,凌陽電通科技股份有限公司,Sunplus mMobile SAS,1,法國,0,1,0,0,0,上市,G2401,28112414,NA,NA,NA,NA,NA
2014,2401,Global Techplus Capital Inc.,Techplus Samoa,1,不明,0,1,0,0,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,2401,Ventureplus Mauritius Inc.,Ventureplus Cayman Inc.,1,開曼群島,0,1,0,0,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,2401,凌陽科技股份有限公司,Ventureplus Group Inc.,1,貝里斯,0,1,0,0,0,上市,G2401,23821182,NA,NA,NA,NA,NA
2014,2401,Ventureplus Group Inc.,Ventureplus Mauritius Inc.,1,模里西斯,0,1,0,0,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,2401,Ventureplus Cayman Inc.,上海凌陽科技有限公司,1,china,0,1,0,1,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,3040,薩摩亞遠見控股公司,北京金遠見電腦技術公司,1,china,0,1,0,1,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,2401,Ventureplus Cayman Inc.,北京凌陽益輝科技有限公司,1,china,0,1,0,0,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,2401,Ventureplus Cayman Inc.,北京凌陽愛普科技有限公司,0.8,china,0,1,0,1,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,3040,北京金遠見電腦技術公司,北京凌鴻智業教育科技公司,0.7,china,0,1,0,1,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,3040,北京金遠見電腦技術公司,北京遠見育成科技孵化器有限公司,1,china,0,1,0,1,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,3040,北京金遠見電腦技術公司,北京翰海凌飛科技公司,1,china,0,1,0,1,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,2401,縱橫壹旅遊科技(成都)有限公司,四川縱橫壹文化傳播公司,0.01,china,0,0,0,1,0,上市,G2401,NA,NA,12,NA,NA,NA
2014,2401,凌陽科技股份有限公司,旭曜科技股份有限公司,0.34,台灣,0,0,1,0,0,上市,G2401,23821182,42702432,NA,NA,NA,NA
2014,2401,凌陽創業投資股份有限公司,旭曜科技股份有限公司,0.01,台灣,0,0,1,0,0,上市,G2401,70755846,42702432,NA,NA,NA,NA
2014,2401,Russell Holdings Limited,宏陽科技股份有限公司,0.007,台灣,0,1,0,0,0,上市,G2401,NA,80355756,NA,NA,NA,NA
2014,2401,威陽投資股份有限公司,宏陽科技股份有限公司,0.0003,台灣,0,1,0,0,0,上市,G2401,80701166,80355756,NA,NA,NA,NA
2014,2401,凌旭投資股份有限公司,宏陽科技股份有限公司,0.0529,台灣,0,1,0,0,0,上市,G2401,16631876,80355756,NA,NA,NA,NA
2014,2401,凌陽科技股份有限公司,宏陽科技股份有限公司,0.6115,台灣,0,1,0,0,0,上市,G2401,23821182,80355756,NA,NA,NA,NA
2014,2401,凌陽創業投資股份有限公司,宏陽科技股份有限公司,0.0698,台灣,0,1,0,0,0,上市,G2401,70755846,80355756,NA,NA,NA,NA
2014,3040,薩摩亞遠見控股公司,昆山遠見電子科技公司,1,china,0,1,0,1,0,上市,G2401,NA,NA,NA,NA,NA,NA
2014,3373,熱映(模里西斯)公司,昆山熱映公司,1,china,0,1,0,1,0,上櫃,G2401,NA,NA,NA,NA,NA,NA
2014,2401,凌旭投資股份有限公司,芯鼎科技股份有限公司,0.0175,台灣,0,1,0,0,0,上市,G2401,16631876,28112890,NA,NA,NA,NA
