year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2013,1413,宏洲化學工業股份有限公司,宏洲投資股份有限公司,0.6,台灣,0,0,1,0,0,上市,G1413,07220710,23534153,NA,NA,NA,NA
2013,1413,宏緯實業股份有限公司,宏富通運股份有限公司,0.0688,台灣,0,0,1,0,0,上市,G1413,04323925,43645902,NA,NA,NA,NA
2013,1413,宏洲化學工業股份有限公司,宏緯實業股份有限公司,0.4919,台灣,0,1,0,0,0,上市,G1413,07220710,04323925,NA,NA,NA,NA
