year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2015,6476,Platinum Ventures Limited,New Herbal Lab Ltd.,0.51,薩摩亞,0,1,0,0,0,公開發行,G6476,NA,NA,NA,NA,NA,NA
2015,6476,益生生投開發股份有限公司,Platinum Ventures Limited,1,薩摩亞,0,0,1,0,0,公開發行,G6476,NA,NA,NA,NA,NA,NA
2015,6476,New Herbal Lab Ltd.,愛次方生物科技(上海)有限公司,1,china,0,1,0,1,0,公開發行,G6476,NA,NA,NA,NA,NA,NA
