year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2016,8436,大江基因醫學股份有限公司,GLUX HK LIMITED,1,香港,0,1,0,0,0,上櫃,G8436,53357669,NA,NA,NA,NA,NA
2016,8436,大江生醫股份有限公司,TCI HK LIMITED,1,香港,1,1,0,0,0,上櫃,G8436,12292039,NA,NA,NA,NA,NA
2016,8436,大江生醫股份有限公司,大江基因醫學股份有限公司,0.6425,台灣,1,1,0,0,0,上櫃,G8436,12292039,53357669,NA,NA,NA,NA
2016,8436,大江生醫股份有限公司,台灣第一新藥股份有限公司,1,台灣,1,1,0,0,0,上櫃,G8436,12292039,27531430,NA,NA,NA,NA
2016,8436,百岳特國際貿易(上海)有限公司,百岳特化妝品(上海)有限公司,1,china,0,1,0,1,0,上櫃,G8436,NA,NA,NA,NA,NA,NA
2016,8436,大江生醫股份有限公司,百岳特生物技術(上海)有限公司,0.6185,china,1,1,0,1,0,上櫃,G8436,12292039,NA,NA,NA,NA,NA
2016,8436,百岳特生物科技(上海)有限公司,百岳特生物技術(上海)有限公司,0.3815,china,0,1,0,0,0,上櫃,G8436,NA,NA,NA,NA,NA,NA
2016,8436,百岳特國際貿易(上海)有限公司,百岳特生物科技(上海)有限公司,1,china,0,1,0,1,0,上櫃,G8436,NA,NA,NA,NA,NA,NA
2016,8436,台灣第一新藥股份有限公司,百岳特國際貿易(上海)有限公司,1,china,0,1,0,1,0,上櫃,G8436,27531430,NA,NA,NA,NA,NA
