year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2013,6005,金鼎綜合證券(香港)有限公司,金鼎資本(香港)有限公司,1,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,金鼎綜合證券(維京)(股)公司,金鼎綜合證券(香港)有限公司,1,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益金鼎證券股份有限公司,金鼎綜合證券(維京)(股)公司,1,英屬維京群島,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益金鼎證券股份有限公司,晶鼎股份有限公司,0.9999,台灣,0,0,1,0,0,上市,G6005,NA,84703356,NA,NA,NA,NA
2013,6005,群益金鼎證券股份有限公司,群金股份有限公司,0.9992,台灣,0,0,1,0,0,上市,G6005,NA,84757900,NA,NA,NA,NA
2013,6005,群益國際控股有限公司,群益(香港)有限公司,1,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益國際控股有限公司,群益亞洲有限公司,0.6667,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益(香港)有限公司,群益亞洲有限公司,0.3333,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,泰群投資股份有限公司,群益金鼎證券股份有限公司,NA,NA,0,0,0,0,1,上市,G6005,23414811,22956035,NA,NA,NA,NA
2013,6005,泰聯投資股份有限公司,群益金鼎證券股份有限公司,NA,NA,0,0,0,0,1,上市,G6005,23415017,22956035,NA,NA,NA,NA
2013,6005,宏佳投資股份有限公司,群益金鼎證券股份有限公司,NA,NA,0,0,0,0,1,上市,G6005,23221125,22956035,NA,NA,NA,NA
2013,6005,光星實業股份有限公司,群益金鼎證券股份有限公司,NA,NA,0,0,0,0,1,上市,G6005,75183902,22956035,NA,NA,NA,NA
2013,6005,三河實業股份有限公司,群益金鼎證券股份有限公司,NA,NA,0,0,0,0,1,上市,G6005,12150637,22956035,NA,NA,NA,NA
2013,6005,一興開發股份有限公司,群益金鼎證券股份有限公司,NA,NA,0,0,0,0,1,上市,G6005,97455028,22956035,NA,NA,NA,NA
2013,6005,錦隆投資股份有限公司,群益金鼎證券股份有限公司,NA,NA,0,0,0,0,1,上市,G6005,23362010,22956035,NA,NA,NA,NA
2013,6005,銀豐實業股份有限公司,群益金鼎證券股份有限公司,NA,NA,0,0,0,0,1,上市,G6005,23416254,22956035,NA,NA,NA,NA
2013,6005,群益(香港)有限公司,群益金融服務有限公司,1,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益金鼎證券股份有限公司,群益保險代理人股份有限公司,1,台灣,0,0,1,0,0,上市,G6005,NA,12662932,NA,NA,NA,NA
2013,6005,群益金鼎證券股份有限公司,群益保險經紀人股份有限公司,1,台灣,0,0,1,0,0,上市,G6005,NA,12663186,NA,NA,NA,NA
2013,6005,群益國際控股有限公司,群益財務有限公司,1,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益金鼎證券股份有限公司,群益國際控股有限公司,1,英屬維京群島,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益期貨股份有限公司,群益期貨(香港)有限公司,1,不明,0,1,0,0,0,上市,G6005,97176335,NA,NA,NA,NA,NA
2013,6005,群益(香港)有限公司,群益期貨(香港)有限公司,0,不明,0,1,0,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益金鼎證券股份有限公司,群益期貨股份有限公司,0.606,台灣,0,0,1,0,0,上市,G6005,NA,97176335,NA,NA,NA,NA
2013,6005,群益國際控股有限公司,群益證券(香港)有限公司,0.7,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益(香港)有限公司,群益證券(香港)有限公司,0.3,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益金鼎證券股份有限公司,群益證券投資顧問股份有限公司,1,台灣,0,0,1,0,0,上市,G6005,22956035,23620951,NA,NA,NA,NA
2013,6005,群益(香港)有限公司,群益證券託管有限公司,0,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6005,群益證券(香港)有限公司,群益證券託管有限公司,1,香港,0,0,1,0,0,上市,G6005,NA,NA,NA,NA,NA,NA
2013,6024,閎業投資股份有限公司,群益期貨股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6005,16742079,97176335,NA,NA,NA,NA
2013,6024,豐陽投資股份有限公司,群益期貨股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6005,23222503,97176335,NA,NA,NA,NA
2013,6024,增懋投資股份有限公司,群益期貨股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6005,16434278,97176335,NA,NA,NA,NA
