year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2016,6411,晶焱科技股份有限公司,AMAZING MICROELECTRONIC (MALAYSIA) SDN.BHD.,1,馬來西亞,1,1,0,0,0,上櫃,G6235,28081989,NA,NA,NA,NA,NA
2016,6411,上真創新投資股份有限公司,晶焱科技股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6235,53530268,28081989,NA,NA,NA,NA
2016,6411,模里斯克投資有限公司,晶焱科技股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6235,53616820,28081989,NA,NA,NA,NA
