year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2013,8234,新漢股份有限公司,"Nex Computers,Inc.",1,美國,0,1,0,0,0,上櫃,G8234,86891972,NA,NA,NA,NA,NA
2013,8234,新漢股份有限公司,Nexcom Europe Ltd.,1,英國,0,1,0,0,0,上櫃,G8234,86891972,NA,NA,NA,NA,NA
2013,8234,新漢股份有限公司,Nexcom France,1,法國,0,1,0,0,0,上櫃,G8234,86891972,NA,NA,NA,NA,NA
2013,8234,新漢股份有限公司,Nexcom GmbH.,1,德國,0,1,0,0,0,上櫃,G8234,86891972,NA,NA,NA,NA,NA
2013,8234,新漢股份有限公司,"Nexcom International Co.,Ltd.",1,薩摩亞,0,1,0,0,0,上櫃,G8234,86891972,NA,NA,NA,NA,NA
2013,8234,新漢股份有限公司,Nexcom Italia S.R.L.,1,義大利,0,1,0,0,0,上櫃,G8234,86891972,NA,NA,NA,NA,NA
2013,8234,新漢股份有限公司,"Nexcom Japan Co.,Ltd.",1,日本,0,1,0,0,0,上櫃,G8234,86891972,NA,NA,NA,NA,NA
2013,8234,"Nexcom International Co.,Ltd.",北京新漢電腦有限公司,1,china,0,1,0,1,0,上櫃,G8234,NA,NA,NA,NA,NA,NA
2013,8234,新漢股份有限公司,綠基企業股份有限公司,1,台灣,0,1,0,0,0,上櫃,G8234,86891972,53411100,NA,NA,NA,NA
