year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2015,2423,固緯電子實業股份有限公司,GOODWILL INSTRUMENT (M) SDN. BHD.,1,馬來西亞,1,1,0,0,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,固緯電子實業股份有限公司,GOODWILL INSTRUMENT EURO B.V.,1,荷蘭,1,1,0,0,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,固緯電子實業股份有限公司,"GOODWILL INSTRUMENT KOREA CO., LTD.",1,南韓,1,1,0,0,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,固緯電子實業股份有限公司,"GUWEI (BVI) CO., LTD.",0,英屬維京群島,1,1,0,0,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,固緯電子實業股份有限公司,"INSTEK (SAMOA) CO., LTD.",1,薩摩亞,0,0,1,0,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,固緯電子實業股份有限公司,INSTEK AMERICA CORP.,1,美國,1,1,0,0,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,固緯電子實業股份有限公司,Texio Technology Corporation,1,日本,0,0,1,0,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,固緯電子實業股份有限公司,亞立斯檢測(蘇州)有限公司,0.8,china,1,1,0,1,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,固緯電子實業股份有限公司,固緯電子(上海)有限公司,1,china,1,1,0,1,0,上市,G2423,NA,NA,NA,NA,NA,NA
2015,2423,"INSTEK (SAMOA) CO., LTD.",固緯電子(蘇州)有限公司,1,china,0,1,0,1,0,上市,G2423,NA,NA,NA,NA,NA,NA
