year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2015,3138,ATL塞席爾,A TEST LAB LIMITED,0,不明,0,1,0,0,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
2015,3138,晶復科技股份有限公司,A TEST LAB INTERNATIONAL CORP.,1,不明,0,1,0,0,0,興櫃,G3138,80620185,NA,NA,NA,NA,NA
2015,3138,晶復科技股份有限公司,ATL塞席爾,1,塞席爾,0,0,1,0,0,興櫃,G3138,80620185,NA,NA,NA,NA,NA
2015,3138,耀登科技股份有限公司,AUDEN TECHNO (BVI) CORPORATION,1,英屬維京群島,1,1,0,0,0,興櫃,G3138,23573774,NA,NA,NA,NA,NA
2015,3138,耀登科技股份有限公司,"LUCKY RITE INTERNATIONAL CO., LTD.",1,模里西斯,1,1,0,0,0,興櫃,G3138,23573774,NA,NA,NA,NA,NA
2015,3138,晶復科技股份有限公司,SUN MOST,0.3178,香港,0,0,1,0,0,興櫃,G3138,80620185,NA,NA,NA,NA,NA
2015,3138,AUDEN TECHNO (BVI) CORPORATION,上海同耀,0.4,china,0,0,0,1,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
2015,3138,"LUCKY RITE INTERNATIONAL CO., LTD.",北京神州騰耀,0.3056,china,0,0,0,1,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
2015,3138,SUN MOST,北京華光騰耀,0.3056,china,0,0,0,1,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
2015,3138,耀登電通科技(昆山)有限公司,昆山耀旭電通科技有限公司,0,不明,0,1,0,0,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
2015,3138,"LUCKY RITE INTERNATIONAL CO., LTD.",施比雅克(上海)貿易有限公司,1,china,0,1,0,1,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
2015,3138,"LUCKY RITE INTERNATIONAL CO., LTD.",晶訊科技(成都)有限公司,0,china,0,1,0,1,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
2015,3138,ATL塞席爾,晶訊檢測(西安)有限公司,1,china,0,1,0,1,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
2015,3138,耀登科技股份有限公司,晶復科技股份有限公司,0.9615,台灣,1,1,0,0,0,興櫃,G3138,23573774,80620185,NA,NA,NA,NA
2015,3138,耀科投資有限公司,耀登科技股份有限公司,NA,NA,0,0,0,0,1,興櫃,G3138,12727294,23573774,NA,NA,NA,NA
2015,3138,源泰投資股份有限公司,耀登科技股份有限公司,NA,NA,0,0,0,0,1,興櫃,G3138,97170830,23573774,NA,NA,NA,NA
2015,3138,川方企業股份有限公司,耀登科技股份有限公司,NA,NA,0,0,0,0,1,興櫃,G3138,04459719,23573774,NA,NA,NA,NA
2015,3138,AUDEN TECHNO (BVI) CORPORATION,耀登電通科技(昆山)有限公司,1,china,0,1,0,1,0,興櫃,G3138,NA,NA,NA,NA,NA,NA
