year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2015,1565,SHINE OPTICAL HOLDING GROUPS INC.,OPTICAL CONNECTION INC.,1,美國,0,1,0,0,0,上櫃,G1565,NA,NA,NA,NA,NA,NA
2015,1565,精華光學股份有限公司,"SHINE OPTICAL (SAMOA) HOLDING GROUPS,INC.",1,薩摩亞,1,0,1,0,0,上櫃,G1565,NA,NA,NA,NA,NA,NA
2015,1565,SHINE OPTICAL HOLDING GROUPS INC.,SHINE OPTICAL B.V.,1,荷蘭,0,1,0,0,0,上櫃,G1565,NA,NA,NA,NA,NA,NA
2015,1565,"SHINE OPTICAL (SAMOA) HOLDING GROUPS,INC.",SHINE OPTICAL HK LIMITED,1,香港,0,0,1,0,0,上櫃,G1565,NA,NA,NA,NA,NA,NA
2015,1565,精華光學股份有限公司,SHINE OPTICAL HOLDING GROUPS INC.,1,英屬維京群島,1,1,0,0,0,上櫃,G1565,NA,NA,NA,NA,NA,NA
2015,1565,SHINE OPTICAL HK LIMITED,上海帝康光學產品商貿有限公司,1,china,0,1,0,1,0,上櫃,G1565,NA,NA,NA,NA,NA,NA
