year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2013,2440,太空梭高傳真資訊科技股份有限公,"SPACE SHUTTLE HI-TECH CO., LTD.",1,薩摩亞,1,0,1,0,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,香港太空梭電線有限公司,東莞中鉅資訊光電有限公司,0.3,china,0,1,0,1,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,東莞中鉅資訊光電有限公司,東莞市兆訊資訊光電有限公司,0,china,0,1,0,0,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,香港太空梭電線有限公司,東莞厚街溪頭太空梭電線有限公司,1,china,0,1,0,1,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,"SPACE SHUTTLE HI-TECH CO., LTD.",東莞紅翔金屬導體有限公司,1,china,0,1,0,1,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,香港太空梭電線有限公司,東莞菲太電子有限公司,1,china,0,1,0,1,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,太空梭高傳真資訊科技股份有限公,香港太空梭電線有限公司,1,香港,1,1,0,0,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,新加坡太空梭電線有限公司,香港太空梭電線有限公司,0,香港,0,1,0,0,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,太空梭高傳真資訊科技股份有限公,新加坡太空梭電線有限公司,0,新加坡,1,1,0,0,0,上市,G2440,NA,NA,NA,NA,NA,NA
2013,2440,"SPACE SHUTTLE HI-TECH CO., LTD.",蘇州太空梭電腦線材有限公司,1,china,0,1,0,1,0,上市,G2440,NA,NA,NA,NA,NA,NA
