year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2016,6446,藥華醫藥亞洲(香港)有限公司,藥華生物科技(北京)有限公司,1,china,0,1,0,1,0,上櫃,G6446,NA,NA,NA,NA,NA,NA
2016,6446,藥華醫藥股份有限公司,藥華醫藥(香港)有限公司,0,香港,1,1,0,0,0,上櫃,G6446,70557655,NA,NA,NA,NA,NA
2016,6446,藥華醫藥股份有限公司,藥華醫藥亞洲(香港)有限公司,1,香港,1,1,0,0,0,上櫃,G6446,70557655,NA,NA,NA,NA,NA
2016,6446,行政院國家發展基金管理會,藥華醫藥股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6446,NA,70557655,NA,NA,NA,NA
2016,6446,閎泰投資股份有限公司,藥華醫藥股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6446,84931247,70557655,NA,NA,NA,NA
2016,6446,耀華玻璃股份有限公司管理委員會,藥華醫藥股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6446,03801820,70557655,NA,NA,NA,NA
