year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2014,6225,天瀚科技股份有限公司,AIPTEK Inc.,0,美國,1,1,0,0,0,上市,G6225,16253228,NA,NA,NA,NA,NA
2014,6225,天瀚科技股份有限公司,AIPTEK International GmbH,1,德國,1,1,0,0,0,上市,G6225,16253228,NA,NA,NA,NA,NA
2014,6225,"A-Link (BVI) Co., LTD.","A-Link(Cayman) Co., Ltd.",1,開曼群島,0,0,1,0,0,上市,G6225,NA,NA,NA,NA,NA,NA
2014,6225,天瀚科技股份有限公司,"A-Link (BVI) Co., LTD.",1,英屬維京群島,1,1,0,0,0,上市,G6225,16253228,NA,NA,NA,NA,NA
2014,6225,天瀚科技股份有限公司,BlueWalker GmbH,0,德國,0,0,1,0,0,上市,G6225,16253228,NA,NA,NA,NA,NA
2014,6225,和朋資本股份有限公司,天瀚科技股份有限公司,NA,NA,0,0,0,0,1,上市,G6225,53775299,16253228,NA,NA,NA,NA
2014,6225,"A-Link(Cayman) Co., Ltd.",愛普泰克國際貿易(上海)有限公司,1,china,0,1,0,0,0,上市,G6225,NA,NA,NA,NA,NA,NA
2014,6225,天瀚科技股份有限公司,瀚威國際投資股份有限公司,0,台灣,1,1,0,0,0,上市,G6225,16253228,80121483,NA,NA,NA,NA
