year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2016,6237,驊訊電子企業股份有限公司,C-Media Holdings Limited,1,英屬維京群島,1,1,0,0,0,上櫃,G6237,86315535,NA,NA,NA,NA,NA
2016,6237,驊訊電子企業股份有限公司,GM Multimedia International Ltd.,0,開曼群島,1,0,1,0,0,上櫃,G6237,86315535,NA,NA,NA,NA,NA
2016,6237,驊訊投資有限公司,上海華烽貿易有限公司,1,china,0,1,0,1,0,上櫃,G6237,NA,NA,NA,NA,NA,NA
2016,6237,上海華烽貿易有限公司,北京鏵葳信息科技有限公司,0,不明,0,1,0,0,0,上櫃,G6237,NA,NA,NA,NA,NA,NA
2016,6237,驊訊電子企業股份有限公司,驊訊投資有限公司,1,香港,1,1,0,0,0,上櫃,G6237,86315535,NA,NA,NA,NA,NA
2016,6237,鴻威創業投資股份有限公司,驊訊電子企業股份有限公司,NA,NA,0,0,0,0,1,上櫃,G6237,70760334,86315535,NA,NA,NA,NA
