year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2015,3284,六富投資有限公司,太普高精密影像股份有限公司,NA,NA,0,0,0,0,1,上櫃,G3284,27219640,16469727,NA,NA,NA,NA
2015,3284,瑋達興業有限公司,太普高精密影像股份有限公司,NA,NA,0,0,0,0,1,上櫃,G3284,24232521,16469727,NA,NA,NA,NA
2015,3284,太普高精密影像股份有限公司,康普科技股份有限公司,0.6667,台灣,1,1,0,0,0,上櫃,G3284,16469727,54194307,NA,NA,NA,NA
